WeekEnding CMaternelle CPrimaire CSecondaire CSuperieur CPersonnel CInconnu QEleves QPersonnel
2020-09-06 2 19 29 2 8 NA 435 61
2020-09-13 20 127 161 2 44 NA 2006 104
2020-09-20 24 242 454 15 164 NA 5478 333
2020-09-27 24 259 749 106 227 2 7215 350
2020-10-04 23 206 862 209 290 6 5820 422
2020-10-11 40 355 1301 395 598 10 9499 575
2020-10-18 76 834 2702 673 1166 25 17429 836
2020-10-30 115 1273 3883 664 1804 72 30811 897
2020-11-22 13 100 271 37 148 5 793 58
2020-12-13 30 241 285 23 146 55 1978 70
2020-12-20 9 247 254 29 172 71 1875 55
2021-01-10 5 57 111 7 46 9 231 24
2021-01-17 10 104 200 6 102 20 1008 66
2021-01-24 28 194 247 16 173 33 2300 372
